species,SVL,NostrilToSnout,NostrilToEye,NostrilLength,NostrilToEar,NostrilWidth,HeadWidth,EarWidth,EarHeight,Thigh,Leg,FourthTarsalLength,FourthTarsalWidth,CaudalCrest,DewlapScales,VentralScales,Lamellae,Habitat
allogus,53.3,1.672,3.573,0.495,12,0.3825,8.7,1.3585,1.881,13.6,14.1,11.7,0.918,1.208,12,62,18,hole
allogus,58.3,1.463,4.794,0.612,14.25,0.459,10,1.071,2.416,14.9,14.8,12.4,1.224,0.5,12,53,14,hole
allogus,58.6,0.918,3.102,0.3825,11.9,0.459,8.1,1.3005,2.09,14.4,15.4,10.35,0.9945,0.5,12,59,14,hole
allogus,62.5,2.416,5.076,0.495,15.65,0.459,11,1.53,2.416,14.9,14.9,12.7,0.6885,1.812,13,51,15,hole
allogus,62.9,1.881,4.512,0.495,13.75,0.5355,10.5,1.224,2.09,18.8,18.7,11.4,0.765,1.812,12,55,15,hole
allogus,70.8,1.53,4.23,0.459,13.75,0.459,10.55,1.254,2.09,17,17.1,12.35,0.918,2.779,11,53,14,base
allogus,61.8,1.53,3.948,0.495,13.8,0.3825,9.85,1.071,2.09,16.7,16.2,11.4,0.918,0.6885,13,53,15,wall
homolechis,61.5,1.53,3.948,0.306,13.15,0.3825,9.5,0.765,2.265,15.1,16,10.75,1.3005,5.41,14,48,14,wall
homolechis,53.4,0.9945,3.948,0.495,13,0.459,9.65,1.071,1.672,12.1,13.1,9,0.918,5.076,12,44,14,wall
homolechis,55.3,1.071,4.23,0.495,12.6,0.5355,9.45,1.377,1.881,13,12.3,11.3,1.4,4.23,16,44,15,wall
homolechis,54.5,1.224,4.23,0.306,12.25,0.306,9.35,0.918,1.53,14.8,12.7,10.4,0.765,3.337,15,50,15,wall
homolechis,56.2,1.53,3.384,0.3825,11.75,0.306,9,1.071,1.881,13.7,12.3,11.65,1.377,4.1,14,45,16,wall
homolechis,52.7,1.3005,4.512,0.306,11.85,0.306,9,0.765,2.09,13.1,12,10.25,1.224,4.2,14,46,17,base
homolechis,53.9,1.377,4.512,0.3825,12.4,0.459,9.35,0.765,1.672,12.7,12.5,10.4,1.071,3.666,12,44,16,base
homolechis,58.6,1.377,3.948,0.495,10.76,0.459,9.7,0.918,2.09,14.6,13.8,11.6,0.918,4.5,13,49,19,hole
mestrei,57.2,1.881,5.076,0.495,13.5,0.3825,9.6,1.224,2.265,16.2,15.5,9.65,1.53,1.045,14,49,16,wall
mestrei,57.9,1.9855,4.512,0.495,13.6,0.459,9.75,1.672,2.09,14.3,14.9,10.55,1.53,1.51,13,49,19,wall
mestrei,63.9,1.881,5.076,0.3825,14.5,0.459,10.15,1.672,2.265,16.4,17,12.25,1.672,0.918,12,51,18,wall
mestrei,56.6,1.377,4.794,0.495,13.85,0.3825,9.9,2.09,1.3585,15.7,15.1,10.5,1.53,1.128,13,50,17,wall
mestrei,59.3,1.881,4.512,0.495,14,0.459,9.7,1.224,2.416,16.5,15.4,11.1,1.672,1.254,14,54,18,top
mestrei,56.6,1.881,3.97,0.3825,13.2,0.3825,10.3,1.071,2.869,15.8,14,10.55,1.4535,0.794,14,48,17,base
mestrei,59.8,1.9855,3.97,0.495,14.5,0.459,11.25,1.224,1.881,18.1,16.4,11.3,1.7765,0.794,13,49,16,hole
sagrei,54.9,1.377,3.97,0.306,13,0.306,9.9,2.82,1.672,13.7,12.8,11,1.224,0.5,8,42,14,wall
sagrei,53.5,1.463,5.64,0.306,12.55,0.3825,9.8,0.765,1.53,12.9,12.6,11.75,1.224,1.191,9,43,13,wall
sagrei,52.7,1.3005,3.948,0.306,11.75,0.306,9.15,0.765,2.09,12.6,12.3,10.4,1.224,0.794,9,41,16,wall
sagrei,54.2,1.53,3.97,0.306,12.25,0.459,10,0.918,1.53,13.9,12,9.95,1.224,0.6,8,39,13,base
sagrei,54.9,1.881,3.97,0.306,11.85,0.306,9.4,1.672,0.459,11.6,11,10.65,1.3005,0.3,9,40,16,hole
sagrei,56.9,1.53,4.794,0.495,12.5,0.3825,9.2,1.128,1.53,12.6,12.4,10.25,1.224,1.191,9,41,14,top
PutativeHybrid,52.1,0.765,3.8,0.2295,10.2,0.306,7.2,0.918,1.377,14.6,15.1,7.5,1.0328,0.3,13,52,16,base
PutativeHybrid,43.6,1.224,3.176,0.306,10.9,0.306,8.9,0.918,1.53,11.7,11.9,9.4,0.918,0.8,11,55,15,hole
PutativeHybrid,59.6,1.672,4.512,0.495,14.4,0.459,10.6,1.224,1.881,15.3,14.3,10.6,1.672,0.764,13,50,16,hole
PutativeHybrid,49.9,1.1475,4.794,0.3825,12.35,0.306,9.05,1.377,1.224,14.2,14.9,9.45,0.512,0.306,11,51,17,wall
PutativeHybrid,52.9,1.3005,3.573,0.2295,12.45,0.2295,9,1.071,1.53,13.8,13.1,9,1.1475,0.153,11,52,15,base
PutativeHybrid,52.1,1.224,3.176,0.306,12.5,0.3825,9.4,0.918,1.67,14,13.2,10.25,0.918,0.3,12,52,16,hole
